Date_YYYYMMDD,LOCAL_ID,SNODAS_SWE_Mean_m,SNODAS_SWE_Min_m,SNODAS_SWE_Max_m,SNODAS_SWE_StdDev_m,SNODAS_Pixels_Count,SNODAS_SnowCover_percent,SNODAS_SWE_Mean_in,SNODAS_SWE_Min_in,SNODAS_SWE_Max_in,SNODAS_SWE_StdDev_in
20170120,ALTC2L_F,0.285,0.046,0.464,0.0738,988.0,100.0,11.22,1.811,18.268,2.9055
20170120,CLOC2L_F,0.103,0.0,0.305,0.0678,780.0,99.7,4.055,0.0,12.008,2.6693
20170120,CGYC2L_F,0.042,0.001,0.3,0.0505,730.0,100.0,1.654,0.039,11.811,1.9882
20170120,CCUC2R_F,0.042,0.0,0.31,0.0482,5448.0,95.7,1.654,0.0,12.205,1.8976
20170120,CAWC2L_F,0.153,0.077,0.27,0.0341,162.0,100.0,6.024,3.031,10.63,1.3425
20170120,RCAC2H_F,0.151,0.003,0.3,0.0589,314.0,100.0,5.945,0.118,11.811,2.3189
20170120,EGLC2L_F,0.13,0.001,0.584,0.1436,3656.0,100.0,5.118,0.039,22.992,5.6535
20170120,WFDC2L_F,0.127,0.0,0.339,0.0891,603.0,99.5,5.0,0.0,13.346,3.5079
20170120,KRMC2L_F,0.14,0.002,0.479,0.1188,1993.0,100.0,5.512,0.079,18.858,4.6772
20170120,SMUC2L_F,0.056,0.0,0.418,0.0876,3260.0,72.9,2.205,0.0,16.457,3.4488
20170120,DOLU1L_F,0.074,0.0,0.347,0.0908,4108.0,81.7,2.913,0.0,13.661,3.5748
20170120,STMC2L_F,0.223,0.0,0.549,0.0929,1285.0,99.8,8.78,0.0,21.614,3.6575
20170120,MBLC2L_F,0.106,0.011,0.599,0.1131,5463.0,100.0,4.173,0.433,23.583,4.4528
20170120,HMAC2H_F,0.336,0.147,0.417,0.0638,31.0,100.0,13.228,5.787,16.417,2.5118
20170120,HMSC2L_F,0.294,0.111,0.388,0.0886,128.0,100.0,11.575,4.37,15.276,3.4882
20170120,RRGC2H_F,0.115,0.022,0.239,0.0467,617.0,100.0,4.528,0.866,9.409,1.8386
20170120,CAMC2L_F,0.111,0.002,0.586,0.0948,7753.0,100.0,4.37,0.079,23.071,3.7323
20170120,VEGC2H_F,0.31,0.0,0.467,0.0755,110.0,99.1,12.205,0.0,18.386,2.9724
20170120,PCCC2L_F,0.191,0.0,0.499,0.1234,2507.0,100.0,7.52,0.0,19.646,4.8583
20170120,GRVC2H_F,0.271,0.101,0.397,0.0629,340.0,100.0,10.669,3.976,15.63,2.4764
20170120,EALC2L_F,0.262,0.031,0.391,0.0686,762.0,100.0,10.315,1.22,15.394,2.7008
20170120,SJCC2L_F,0.076,0.0,0.608,0.0866,3481.0,98.9,2.992,0.0,23.937,3.4094
20170120,PIDC2H_F,0.156,0.0,0.467,0.1153,2832.0,99.1,6.142,0.0,18.386,4.5394
20170120,LOSC2L_F,0.05,0.0,0.364,0.0511,1355.0,99.5,1.969,0.0,14.331,2.0118
20170120,CDRC2L_F,0.021,0.0,0.183,0.0302,1124.0,83.9,0.827,0.0,7.205,1.189
20170120,LPFN5L_F,0.002,0.0,0.034,0.0027,1164.0,49.8,0.079,0.0,1.339,0.1063
20170120,LPSC2L_F,0.046,0.0,0.369,0.0608,1213.0,80.5,1.811,0.0,14.528,2.3937
20170120,MRTC2L_F,0.01,0.0,0.143,0.0192,1874.0,95.7,0.394,0.0,5.63,0.7559
20170120,SJFC2L_F,0.005,0.0,0.187,0.0151,5320.0,64.2,0.197,0.0,7.362,0.5945
20170120,BFFU1L_F,0.008,0.0,0.254,0.0233,19567.0,56.6,0.315,0.0,10.0,0.9173
20170120,YASC2H_F,0.171,0.014,0.511,0.115,1175.0,100.0,6.732,0.551,20.118,4.5276
20170120,SCHC2R_F,0.143,0.085,0.206,0.0247,116.0,100.0,5.63,3.346,8.11,0.9724
20170120,RBPC2H_F,0.455,0.21,0.663,0.0963,305.0,100.0,17.913,8.268,26.102,3.7913
20170120,HTSC2L_F,0.171,0.073,0.337,0.0675,187.0,100.0,6.732,2.874,13.268,2.6575
20170120,MNRC2H_F,0.238,0.001,0.561,0.1389,443.0,100.0,9.37,0.039,22.087,5.4685
20170120,BUEC2H_F,0.191,0.053,0.284,0.0609,178.0,100.0,7.52,2.087,11.181,2.3976
20170120,ELHC2H_F,0.303,0.06,0.459,0.0991,804.0,100.0,11.929,2.362,18.071,3.9016
20170120,DGOC2R_F,0.097,0.0,0.516,0.0952,375.0,97.6,3.819,0.0,20.315,3.748
20170120,GEPC2R_F,0.1,0.049,0.15,0.0267,20.0,100.0,3.937,1.929,5.906,1.0512
20170120,FRASER-U,0.276,0.053,0.41,0.0663,231.0,100.0,10.866,2.087,16.142,2.6102
20170120,FRASER-L,0.173,0.026,0.357,0.0646,656.0,100.0,6.811,1.024,14.055,2.5433
20170120,FRASER-DW,0.29,0.052,0.417,0.0714,439.0,100.0,11.417,2.047,16.417,2.811
20170120,403,0.005,0.0,0.02,0.0051,914.0,67.9,0.197,0.0,0.787,0.2008
20170120,405,0.0,0.0,0.0,0.0,3156.0,0.0,0.0,0.0,0.0,0.0
20170120,406,0.001,0.0,0.013,0.0024,1274.0,12.9,0.039,0.0,0.512,0.0945
20170120,3202,0.006,0.0,0.026,0.0067,570.0,68.1,0.236,0.0,1.024,0.2638
20170120,3203,0.002,0.0,0.032,0.0043,425.0,50.4,0.079,0.0,1.26,0.1693
20170120,3204,0.008,0.0,0.075,0.0138,185.0,64.3,0.315,0.0,2.953,0.5433
20170120,3262,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
20170120,3205,0.002,0.0,0.016,0.0021,162.0,59.9,0.079,0.0,0.63,0.0827
20170120,3130,0.132,0.001,0.354,0.0929,1457.0,100.0,5.197,0.039,13.937,3.6575
20170120,3101,0.154,0.0,0.429,0.0949,2646.0,98.7,6.063,0.0,16.89,3.7362
20170120,3175,0.361,0.102,0.94,0.1405,2852.0,100.0,14.213,4.016,37.008,5.5315
20170120,3176,0.178,0.003,0.399,0.0994,781.0,100.0,7.008,0.118,15.709,3.9134
20170120,3177,0.246,0.0,0.62,0.1346,2195.0,100.0,9.685,0.0,24.409,5.2992
20170120,3178,0.199,0.03,0.479,0.1041,1277.0,100.0,7.835,1.181,18.858,4.0984
20170120,3187,0.252,0.083,0.36,0.0636,462.0,100.0,9.921,3.268,14.173,2.5039
20170120,3225,0.014,0.0,0.042,0.0078,506.0,98.2,0.551,0.0,1.654,0.3071
20170120,3265,0.003,0.0,0.013,0.0035,18.0,50.0,0.118,0.0,0.512,0.1378
20170120,3222,0.01,0.0,0.047,0.0091,698.0,98.4,0.394,0.0,1.85,0.3583
20170120,3269,0.001,0.0,0.005,0.0008,44.0,77.3,0.039,0.0,0.197,0.0315
20170120,3201,0.003,0.0,0.021,0.0039,819.0,61.3,0.118,0.0,0.827,0.1535
20170120,3228,0.044,0.0,0.209,0.0404,954.0,99.7,1.732,0.0,8.228,1.5906
20170120,3227,0.017,0.001,0.043,0.0083,463.0,100.0,0.669,0.039,1.693,0.3268
20170120,3264,0.009,0.0,0.017,0.0029,64.0,95.3,0.354,0.0,0.669,0.1142
20170120,3226,0.079,0.002,0.41,0.0848,1625.0,100.0,3.11,0.079,16.142,3.3386
20170120,3284,0.014,0.0,0.318,0.0409,927.0,85.5,0.551,0.0,12.52,1.6102
20170120,3232,0.164,0.0,0.428,0.1179,444.0,98.9,6.457,0.0,16.85,4.6417
20170120,3283,0.007,0.0,0.332,0.0294,1484.0,58.3,0.276,0.0,13.071,1.1575
20170120,409,0.0,0.0,0.0,0.0,945.0,0.0,0.0,0.0,0.0,0.0
20170120,408,0.0,0.0,0.002,0.0,1835.0,0.1,0.0,0.0,0.079,0.0
20170120,501,0.003,0.0,0.021,0.0047,1648.0,51.8,0.118,0.0,0.827,0.185
20170120,506,0.002,0.0,0.008,0.0026,770.0,40.0,0.079,0.0,0.315,0.1024
20170120,502,0.002,0.0,0.015,0.0036,3466.0,23.8,0.079,0.0,0.591,0.1417
20170120,503,0.001,0.0,0.011,0.002,2979.0,8.9,0.039,0.0,0.433,0.0787
20170120,504,0.006,0.0,0.014,0.0038,2538.0,81.7,0.236,0.0,0.551,0.1496
20170120,505,0.001,0.0,0.014,0.0025,4180.0,27.2,0.039,0.0,0.551,0.0984
20170120,530,0.001,0.0,0.012,0.0021,1100.0,12.8,0.039,0.0,0.472,0.0827
20170120,531,0.0,0.0,0.001,0.0,1062.0,0.1,0.0,0.0,0.039,0.0
20170120,542,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
20170120,552,0.004,0.0,0.015,0.0038,4870.0,69.5,0.157,0.0,0.591,0.1496
20170120,553,0.003,0.0,0.013,0.004,3048.0,45.3,0.118,0.0,0.512,0.1575
20170120,554,0.007,0.0,0.019,0.0049,4877.0,81.8,0.276,0.0,0.748,0.1929
20170120,555,0.013,0.0,0.027,0.0074,3986.0,91.0,0.512,0.0,1.063,0.2913
20170120,556,0.002,0.0,0.017,0.0039,834.0,40.8,0.079,0.0,0.669,0.1535
20170120,549,0.007,0.0,0.013,0.0033,686.0,93.0,0.276,0.0,0.512,0.1299
20170120,550,0.003,0.0,0.015,0.0039,2001.0,50.0,0.118,0.0,0.591,0.1535
20170120,551,0.004,0.0,0.012,0.0034,5464.0,74.6,0.157,0.0,0.472,0.1339
20170120,559,0.002,0.0,0.019,0.0048,785.0,23.6,0.079,0.0,0.748,0.189
20170120,3291,0.0,0.0,0.006,0.001,2526.0,23.8,0.0,0.0,0.236,0.0394
20170120,3290,0.001,0.0,0.009,0.0016,1788.0,25.1,0.039,0.0,0.354,0.063
20170120,3288,0.003,0.0,0.014,0.0033,728.0,53.8,0.118,0.0,0.551,0.1299
20170120,3289,0.0,0.0,0.006,0.0003,1307.0,2.5,0.0,0.0,0.236,0.0118
20170120,3287,0.002,0.0,0.011,0.0026,1164.0,50.0,0.079,0.0,0.433,0.1024
20170120,3235,0.001,0.0,0.072,0.005,2620.0,1.4,0.039,0.0,2.835,0.1969
20170120,3214,0.0,0.0,0.018,0.0008,2857.0,3.2,0.0,0.0,0.709,0.0315
